   0.000000000E+00   0.500000000E+04  -0.160709763E+01   0.425637986E+00  -0.784770688E+00  -0.150837647E+01  -0.178517936E+01  -0.190262167E+01  -0.503722592E+00  -0.556049531E+00  -0.130093416E+01  -0.184709763E+01  -0.229390052E+01
   0.170011268E+04   0.500000000E+04  -0.171537417E+01   0.317361442E+00  -0.893047232E+00  -0.161665301E+01  -0.189345591E+01  -0.201089822E+01  -0.611999136E+00  -0.664326075E+00  -0.140921070E+01  -0.195537417E+01  -0.240217706E+01
   0.340034716E+04   0.500000000E+04  -0.179983686E+01   0.232898756E+00  -0.977509918E+00  -0.170111570E+01  -0.197791859E+01  -0.209536090E+01  -0.696461822E+00  -0.748788761E+00  -0.149367339E+01  -0.203983686E+01  -0.248663975E+01
   0.510015378E+04   0.500000000E+04  -0.209129367E+01  -0.585580556E-01  -0.126896673E+01  -0.199257251E+01  -0.226937540E+01  -0.238681772E+01  -0.987918634E+00  -0.104024557E+01  -0.178513020E+01  -0.233129367E+01  -0.277809656E+01
   0.680005506E+04   0.500000000E+04  -0.253546275E+01  -0.502727139E+00  -0.171313581E+01  -0.243674160E+01  -0.271354449E+01  -0.283098680E+01  -0.143208772E+01  -0.148441466E+01  -0.222929928E+01  -0.277546275E+01  -0.322226564E+01
   0.850006104E+04   0.500000000E+04  -0.305031630E+01  -0.101758069E+01  -0.222798936E+01  -0.295159514E+01  -0.322839803E+01  -0.334584035E+01  -0.194694126E+01  -0.199926820E+01  -0.274415283E+01  -0.329031630E+01  -0.373711919E+01
   0.102001306E+05   0.500000000E+04  -0.357340303E+01  -0.154066741E+01  -0.275107609E+01  -0.347468187E+01  -0.375148476E+01  -0.386892708E+01  -0.247002799E+01  -0.252235493E+01  -0.326723956E+01  -0.381340303E+01  -0.426020592E+01
   0.119001513E+05   0.500000000E+04  -0.407664172E+01  -0.204390610E+01  -0.325431478E+01  -0.397792056E+01  -0.425472345E+01  -0.437216576E+01  -0.297326668E+01  -0.302559362E+01  -0.377047825E+01  -0.431664172E+01  -0.476344461E+01
   0.136000769E+05   0.500000000E+04  -0.457428640E+01  -0.254155079E+01  -0.375195946E+01  -0.447556524E+01  -0.475236814E+01  -0.486981045E+01  -0.347091137E+01  -0.352323830E+01  -0.426812293E+01  -0.481428640E+01  -0.526108929E+01
   0.153002585E+05   0.500000000E+04  -0.526782790E+01  -0.323509229E+01  -0.444550096E+01  -0.516910675E+01  -0.544590964E+01  -0.556335195E+01  -0.416445287E+01  -0.421677981E+01  -0.496166443E+01  -0.550782790E+01  -0.595463079E+01
   0.170002548E+05   0.500000000E+04  -0.548151280E+01  -0.344877719E+01  -0.465918586E+01  -0.538279164E+01  -0.565959454E+01  -0.577703685E+01  -0.437813777E+01  -0.443046471E+01  -0.517534933E+01  -0.572151280E+01  -0.616831569E+01
   0.187000051E+05   0.500000000E+04  -0.547171568E+01  -0.343898007E+01  -0.464938874E+01  -0.537299453E+01  -0.564979742E+01  -0.576723973E+01  -0.436834065E+01  -0.442066759E+01  -0.516555221E+01  -0.571171568E+01  -0.615851857E+01
   0.204002021E+05   0.500000000E+04  -0.544539446E+01  -0.341265885E+01  -0.462306752E+01  -0.534667330E+01  -0.562347619E+01  -0.574091851E+01  -0.434201942E+01  -0.439434636E+01  -0.513923099E+01  -0.568539446E+01  -0.613219735E+01
