  0.0000000000E+000  0.0000000000E+000
  1.7002653316E+003  2.9666081418E+034
  3.4001821020E+003  2.9663423467E+034
  5.1002500274E+003  2.9661403650E+034
  6.8001474040E+003  2.9661356073E+034
  8.5002517764E+003  2.9667142611E+034
  1.0200218579E+004  2.9682186789E+034
  1.1900165868E+004  2.9700734469E+034
  1.3600133787E+004  2.9718528680E+034
  1.5300233793E+004  2.9738968262E+034
  1.7000214540E+004  2.9776964554E+034
  1.8700166418E+004  2.9807891424E+034
  2.0400221481E+004  2.9810470422E+034
  2.2100259548E+004  2.9811301594E+034
  2.3800239031E+004  2.9811719952E+034
  2.5500164063E+004  2.9812171626E+034
  2.7200139057E+004  2.9812754186E+034
  2.8900142705E+004  2.9814126121E+034
  3.0600136523E+004  2.9815453624E+034
  3.2300225094E+004  2.9816248865E+034
  3.4000141703E+004  2.9816972866E+034
  3.5700144153E+004  2.9817717352E+034
  3.7400134920E+004  2.9818424630E+034
  3.9100200919E+004  2.9819178714E+034
  4.0800152129E+004  2.9819595829E+034
  4.2500159926E+004  2.9819635486E+034
  4.4200175379E+004  2.9819605661E+034
  4.5900252059E+004  2.9819376882E+034
  4.7600188220E+004  2.9819249282E+034
  4.9300202608E+004  2.9819455893E+034
  5.1000239348E+004  2.9819547797E+034
  5.2700232413E+004  2.9819572464E+034
  5.4400230332E+004  2.9819578743E+034
  5.6100143310E+004  2.9819585498E+034
  5.7800200384E+004  2.9819591339E+034
  5.9500160502E+004  2.9819594676E+034
  6.1200246270E+004  2.9819593980E+034
  6.2900158461E+004  2.9819588814E+034
  6.4600161618E+004  2.9819580629E+034
  6.6300260502E+004  2.9819568792E+034
  6.8000254867E+004  2.9819527813E+034
  6.9700189023E+004  2.9819481384E+034
  7.1400231923E+004  2.9819431762E+034
  7.3100200892E+004  2.9819382590E+034
  7.4800254963E+004  2.9819332698E+034
  7.6500163474E+004  2.9819280593E+034
  7.8200191792E+004  2.9819225321E+034
  7.9900251277E+004  2.9819166235E+034
  8.1600207608E+004  2.9819099351E+034
  8.3300255842E+004  2.9819024611E+034
  8.5000162483E+004  2.9818956539E+034
  8.6700227275E+004  2.9818906289E+034
  8.8400203163E+004  2.9818879850E+034
  9.0100215956E+004  2.9818877409E+034
  9.1800215516E+004  2.9818890373E+034
