  0.0000000000E+000  0.0000000000E+000
  1.7002378465E+003 -6.1174766675E+002
  3.4001749067E+003 -1.2254004513E+003
  5.1002487174E+003 -1.8383103487E+003
  6.8001518350E+003 -2.4474519749E+003
  8.5001603470E+003 -3.0477881870E+003
  1.0200215348E+004 -3.6366216848E+003
  1.1900151384E+004 -4.2037325760E+003
  1.3600200598E+004 -3.8090458192E+003
  1.5300271795E+004 -4.2086499488E+003
  1.7000232107E+004 -4.5662628081E+003
  1.8700170978E+004 -4.1006297114E+003
  2.0400156000E+004 -5.0795417637E+003
  2.2100157783E+004 -5.9544522630E+003
  2.3800210716E+004 -6.5124215470E+003
  2.5500270292E+004 -7.0530147778E+003
  2.7200248013E+004 -7.7741644338E+003
  2.8900268929E+004 -8.4474104966E+003
  3.0600155415E+004 -8.9631087643E+003
  3.2300174103E+004 -9.4805203755E+003
  3.4000146753E+004 -9.9994306419E+003
  3.5700190815E+004 -1.0519601895E+004
  3.7400221344E+004 -1.1040834452E+004
  3.9100153114E+004 -1.1562934809E+004
  4.0800260193E+004 -1.2085703357E+004
  4.2500153818E+004 -1.2609005034E+004
  4.4200233678E+004 -1.3132984721E+004
  4.5900227932E+004 -1.3657478005E+004
  4.7600273103E+004 -1.4182473456E+004
  4.9300187181E+004 -1.4707865712E+004
  5.1000187891E+004 -1.5233626754E+004
  5.2700163705E+004 -1.5759625959E+004
  5.4400239485E+004 -1.6285868330E+004
  5.6100205128E+004 -1.6812268206E+004
  5.7800169352E+004 -1.7338850567E+004
  5.9500271847E+004 -1.7865643192E+004
  6.1200181200E+004 -1.8392528970E+004
  6.2900229183E+004 -1.8919563535E+004
  6.4600158149E+004 -1.9446637865E+004
  6.6300239372E+004 -1.9973817082E+004
  6.8000232362E+004 -2.0501015287E+004
  6.9700256756E+004 -2.1028259970E+004
  7.1400246345E+004 -2.1555456337E+004
  7.3100164628E+004 -2.2082760824E+004
  7.4800270604E+004 -2.2610170021E+004
  7.6500238653E+004 -2.3137553173E+004
  7.8200183329E+004 -2.3664934534E+004
  7.9900224918E+004 -2.4192344019E+004
  8.1600219305E+004 -2.4719771911E+004
  8.3300205880E+004 -2.5247099497E+004
  8.5000251794E+004 -2.5774414210E+004
  8.6700223297E+004 -2.6301688417E+004
  8.8400259048E+004 -2.6828959497E+004
  9.0100181441E+004 -2.7356161465E+004
  9.1800150896E+004 -2.7883324643E+004
  9.3500152651E+004 -2.8410529203E+004
  9.5200174820E+004 -2.8937702233E+004
  9.6900193116E+004 -2.9464817174E+004
  9.8600204862E+004 -2.9991868974E+004
  1.0030022017E+005 -3.0518885191E+004
  1.0200019292E+005 -3.1045896255E+004
  1.0370026483E+005 -3.1572782626E+004
  1.0540016104E+005 -3.2099527655E+004
  1.0710017332E+005 -3.2626246451E+004
  1.0880017268E+005 -3.3152905987E+004
  1.1050015969E+005 -3.3679561563E+004
  1.1220015290E+005 -3.4206171347E+004
  1.1390017261E+005 -3.4732737030E+004
  1.1560025579E+005 -3.5259245066E+004
  1.1730024051E+005 -3.5785625236E+004
  1.1900025628E+005 -3.6311917022E+004
  1.2070015508E+005 -3.6837990975E+004
  1.2240021430E+005 -3.7364067961E+004
  1.2410015349E+005 -3.7890071529E+004
  1.2580022269E+005 -3.8416080537E+004
  1.2750015419E+005 -3.8942009712E+004
  1.2920020519E+005 -3.9467951565E+004
  1.3090022791E+005 -3.9993901541E+004
  1.3260021945E+005 -4.0519702958E+004
  1.3430018112E+005 -4.1045344319E+004
  1.3600014080E+005 -4.1570896209E+004
  1.3770022735E+005 -4.2096401416E+004
  1.3940017734E+005 -4.2621763238E+004
  1.4110026801E+005 -4.3147006371E+004
  1.4280026486E+005 -4.3672006662E+004
  1.4450017307E+005 -4.4195652330E+004
  1.4620024509E+005 -4.4719026609E+004
  1.4790019697E+005 -4.5242018075E+004
  1.4960015730E+005 -4.5764643446E+004
  1.5130015061E+005 -4.6286820229E+004
  1.5300015039E+005 -4.6808629498E+004
  1.5470014419E+005 -4.7330066153E+004
  1.5640025579E+005 -4.7851100713E+004
  1.5810020872E+005 -4.8371596763E+004
  1.5980015546E+005 -4.8891554204E+004
  1.6150021146E+005 -4.9410983917E+004
  1.6320024888E+005 -4.9929704059E+004
  1.6490027279E+005 -5.0447684878E+004
  1.6660017045E+005 -5.0964833529E+004
  1.6830021497E+005 -5.1481151710E+004
  1.7000027589E+005 -5.1996524035E+004
  1.7170023058E+005 -5.2255686903E+004
  1.7340021571E+005 -5.2470881970E+004
  1.7510023138E+005 -5.2649493816E+004
  1.7680025876E+005 -5.2783480744E+004
  1.7850015857E+005 -5.2879346368E+004
  1.8020020939E+005 -5.2993131131E+004
  1.8190026936E+005 -5.3370658971E+004
  1.8360017797E+005 -5.3739398231E+004
  1.8530020160E+005 -5.4096618096E+004
  1.8700021408E+005 -5.4511402250E+004
  1.8870021444E+005 -5.4963815087E+004
  1.9040020001E+005 -5.5404631648E+004
  1.9210016895E+005 -5.5805376803E+004
  1.9380027484E+005 -5.6010502992E+004
  1.9550025445E+005 -5.5760371934E+004
  1.9720025017E+005 -5.4503060210E+004
  1.9890026731E+005 -5.4141926663E+004
  2.0060016811E+005 -5.4308160511E+004
  2.0230023967E+005 -5.4218353516E+004
  2.0400019164E+005 -5.1228726828E+004
  2.0570015376E+005 -5.0363006302E+004
  2.0740025810E+005 -4.7096062703E+004
  2.0910023190E+005 -4.6057129445E+004
  2.1080021325E+005 -4.6194861372E+004
  2.1250017541E+005 -4.6610202840E+004
  2.1420025956E+005 -4.6569827323E+004
