   0.000000000E+00   0.500000000E+04  -0.976984402E+01  -0.773710840E+01  -0.894751708E+01  -0.967112286E+01  -0.994792575E+01  -0.100653681E+02  -0.866646898E+01  -0.871879592E+01  -0.946368055E+01  -0.100098440E+02  -0.104566469E+02
   0.170003044E+04   0.500000000E+04  -0.941784940E+01  -0.738511379E+01  -0.859552246E+01  -0.931912825E+01  -0.959593114E+01  -0.971337345E+01  -0.831447437E+01  -0.836680131E+01  -0.911168593E+01  -0.965784940E+01  -0.101046523E+02
   0.340020039E+04   0.500000000E+04  -0.913777017E+01  -0.710503456E+01  -0.831544324E+01  -0.903904902E+01  -0.931585191E+01  -0.943329422E+01  -0.803439514E+01  -0.808672208E+01  -0.883160670E+01  -0.937777017E+01  -0.982457307E+01
   0.510016136E+04   0.500000000E+04  -0.891839744E+01  -0.688566183E+01  -0.809607050E+01  -0.881967628E+01  -0.909647918E+01  -0.921392149E+01  -0.781502241E+01  -0.786734935E+01  -0.861223397E+01  -0.915839744E+01  -0.960520033E+01
   0.680004044E+04   0.500000000E+04  -0.874873335E+01  -0.671599773E+01  -0.792640641E+01  -0.865001219E+01  -0.892681508E+01  -0.904425740E+01  -0.764535831E+01  -0.769768525E+01  -0.844256988E+01  -0.898873335E+01  -0.943553624E+01
   0.850001875E+04   0.500000000E+04  -0.861939247E+01  -0.658665686E+01  -0.779706553E+01  -0.852067131E+01  -0.879747420E+01  -0.891491652E+01  -0.751601743E+01  -0.756834437E+01  -0.831322900E+01  -0.885939247E+01  -0.930619536E+01
   0.102001604E+05   0.500000000E+04  -0.852329264E+01  -0.649055702E+01  -0.770096570E+01  -0.842457148E+01  -0.870137437E+01  -0.881881669E+01  -0.741991760E+01  -0.747224454E+01  -0.821712917E+01  -0.876329264E+01  -0.921009553E+01
   0.119001554E+05   0.500000000E+04  -0.845877346E+01  -0.642603785E+01  -0.763644652E+01  -0.836005230E+01  -0.863685519E+01  -0.875429751E+01  -0.735539842E+01  -0.740772536E+01  -0.815260999E+01  -0.869877346E+01  -0.914557635E+01
   0.136001056E+05   0.500000000E+04  -0.841401039E+01  -0.638127477E+01  -0.759168345E+01  -0.831528923E+01  -0.859209212E+01  -0.870953443E+01  -0.731063535E+01  -0.736296229E+01  -0.810784692E+01  -0.865401039E+01  -0.910081328E+01
   0.153000511E+05   0.500000000E+04  -0.838410636E+01  -0.635137074E+01  -0.756177942E+01  -0.828538520E+01  -0.856218809E+01  -0.867963040E+01  -0.728073132E+01  -0.733305826E+01  -0.807794289E+01  -0.862410636E+01  -0.907090925E+01
   0.170000756E+05   0.500000000E+04  -0.836562048E+01  -0.633288486E+01  -0.754329354E+01  -0.826689932E+01  -0.854370221E+01  -0.866114453E+01  -0.726224544E+01  -0.731457238E+01  -0.805945701E+01  -0.860562048E+01  -0.905242337E+01
   0.187000011E+05   0.500000000E+04  -0.835614042E+01  -0.632340481E+01  -0.753381349E+01  -0.825741927E+01  -0.853422216E+01  -0.865166447E+01  -0.725276539E+01  -0.730509233E+01  -0.804997696E+01  -0.859614042E+01  -0.904294332E+01
   0.204001927E+05   0.500000000E+04  -0.835286652E+01  -0.632013091E+01  -0.753053959E+01  -0.825414537E+01  -0.853094826E+01  -0.864839057E+01  -0.724949149E+01  -0.730181843E+01  -0.804670306E+01  -0.859286652E+01  -0.903966942E+01
   0.221001521E+05   0.500000000E+04  -0.835332930E+01  -0.632059369E+01  -0.753100237E+01  -0.825460815E+01  -0.853141104E+01  -0.864885335E+01  -0.724995427E+01  -0.730228121E+01  -0.804716583E+01  -0.859332930E+01  -0.904013220E+01
   0.238001293E+05   0.500000000E+04  -0.836079819E+01  -0.632806258E+01  -0.753847125E+01  -0.826207703E+01  -0.853887992E+01  -0.865632224E+01  -0.725742315E+01  -0.730975009E+01  -0.805463472E+01  -0.860079819E+01  -0.904760108E+01
   0.255001130E+05   0.500000000E+04  -0.837407205E+01  -0.634133644E+01  -0.755174511E+01  -0.827535089E+01  -0.855215378E+01  -0.866959610E+01  -0.727069702E+01  -0.732302395E+01  -0.806790858E+01  -0.861407205E+01  -0.906087494E+01
   0.272001992E+05   0.500000000E+04  -0.839178159E+01  -0.635904598E+01  -0.756945466E+01  -0.829306044E+01  -0.856986333E+01  -0.868730564E+01  -0.728840656E+01  -0.734073350E+01  -0.808561813E+01  -0.863178159E+01  -0.907858449E+01
   0.289001781E+05   0.500000000E+04  -0.841277996E+01  -0.638004435E+01  -0.759045302E+01  -0.831405880E+01  -0.859086169E+01  -0.870830401E+01  -0.730940492E+01  -0.736173186E+01  -0.810661649E+01  -0.865277996E+01  -0.909958285E+01
   0.306001678E+05   0.500000000E+04  -0.843692547E+01  -0.640418985E+01  -0.761459853E+01  -0.833820431E+01  -0.861500720E+01  -0.873244952E+01  -0.733355043E+01  -0.738587737E+01  -0.813076200E+01  -0.867692547E+01  -0.912372836E+01
   0.323000151E+05   0.500000000E+04  -0.846425584E+01  -0.643152023E+01  -0.764192890E+01  -0.836553468E+01  -0.864233757E+01  -0.875977989E+01  -0.736088080E+01  -0.741320774E+01  -0.815809237E+01  -0.870425584E+01  -0.915105873E+01
   0.340000102E+05   0.500000000E+04  -0.849173721E+01  -0.645900160E+01  -0.766941027E+01  -0.839301605E+01  -0.866981894E+01  -0.878726126E+01  -0.738836217E+01  -0.744068911E+01  -0.818557374E+01  -0.873173721E+01  -0.917854010E+01
