   0.000000000E+00   0.500000000E+04  -0.166320461E+01   0.369531002E+00  -0.840877672E+00  -0.156448345E+01  -0.184128635E+01  -0.195872866E+01  -0.559829576E+00  -0.612156515E+00  -0.135704114E+01  -0.190320461E+01  -0.235000750E+01
   0.170644036E+04   0.500000000E+04               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN
   0.340689967E+04   0.500000000E+04               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN
   0.518400075E+04   0.500000000E+04  -0.198127390E+01   0.514617081E-01  -0.115894697E+01  -0.188255275E+01  -0.215935564E+01  -0.227679795E+01  -0.877898870E+00  -0.930225809E+00  -0.167511044E+01  -0.222127390E+01  -0.266807680E+01
   0.680185822E+04   0.500000000E+04  -0.300619301E+01  -0.973457399E+00  -0.218386607E+01  -0.290747186E+01  -0.318427475E+01  -0.330171706E+01  -0.190281798E+01  -0.195514492E+01  -0.270002954E+01  -0.324619301E+01  -0.369299590E+01
   0.870695358E+04   0.500000000E+04               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN
   0.102962948E+05   0.500000000E+04  -0.181517350E+01   0.217562115E+00  -0.992846559E+00  -0.171645234E+01  -0.199325523E+01  -0.211069755E+01  -0.711798464E+00  -0.764125403E+00  -0.150901003E+01  -0.205517350E+01  -0.250197639E+01
   0.119631889E+05   0.500000000E+04  -0.308587465E+01  -0.105313903E+01  -0.226354771E+01  -0.298715349E+01  -0.326395638E+01  -0.338139869E+01  -0.198249961E+01  -0.203482655E+01  -0.277971118E+01  -0.332587465E+01  -0.377267754E+01
   0.137153005E+05   0.500000000E+04  -0.372423244E+01  -0.169149683E+01  -0.290190550E+01  -0.362551129E+01  -0.390231418E+01  -0.401975649E+01  -0.262085741E+01  -0.267318435E+01  -0.341806897E+01  -0.396423244E+01  -0.441103533E+01
   0.153661438E+05   0.500000000E+04  -0.395832261E+01  -0.192558700E+01  -0.313599568E+01  -0.385960146E+01  -0.413640435E+01  -0.425384666E+01  -0.285494758E+01  -0.290727452E+01  -0.365215915E+01  -0.419832261E+01  -0.464512551E+01
   0.170129606E+05   0.500000000E+04  -0.430000436E+01  -0.226726875E+01  -0.347767742E+01  -0.420128321E+01  -0.447808610E+01  -0.459552841E+01  -0.319662933E+01  -0.324895627E+01  -0.399384089E+01  -0.454000436E+01  -0.498680725E+01
   0.187284783E+05   0.500000000E+04  -0.459732914E+01  -0.256459353E+01  -0.377500220E+01  -0.449860798E+01  -0.477541087E+01  -0.489285319E+01  -0.349395410E+01  -0.354628104E+01  -0.429116567E+01  -0.483732914E+01  -0.528413203E+01
   0.204316764E+05   0.500000000E+04  -0.489023295E+01  -0.285749733E+01  -0.406790601E+01  -0.479151179E+01  -0.506831468E+01  -0.518575699E+01  -0.378685791E+01  -0.383918485E+01  -0.458406948E+01  -0.513023295E+01  -0.557703584E+01
   0.221073328E+05   0.500000000E+04  -0.513438146E+01  -0.310164585E+01  -0.431205452E+01  -0.503566030E+01  -0.531246319E+01  -0.542990551E+01  -0.403100643E+01  -0.408333336E+01  -0.482821799E+01  -0.537438146E+01  -0.582118435E+01
   0.238393696E+05   0.500000000E+04  -0.533583915E+01  -0.330310354E+01  -0.451351221E+01  -0.523711799E+01  -0.551392088E+01  -0.563136320E+01  -0.423246411E+01  -0.428479105E+01  -0.502967568E+01  -0.557583915E+01  -0.602264204E+01
   0.255453271E+05   0.500000000E+04  -0.548638790E+01  -0.345365228E+01  -0.466406096E+01  -0.538766674E+01  -0.566446963E+01  -0.578191194E+01  -0.438301286E+01  -0.443533980E+01  -0.518022443E+01  -0.572638790E+01  -0.617319079E+01
   0.272488443E+05   0.500000000E+04  -0.561592504E+01  -0.358318943E+01  -0.479359810E+01  -0.551720389E+01  -0.579400678E+01  -0.591144909E+01  -0.451255001E+01  -0.456487695E+01  -0.530976157E+01  -0.585592504E+01  -0.630272793E+01
   0.289314275E+05   0.500000000E+04  -0.572422481E+01  -0.369148920E+01  -0.490189787E+01  -0.562550365E+01  -0.590230654E+01  -0.601974886E+01  -0.462084978E+01  -0.467317671E+01  -0.541806134E+01  -0.596422481E+01  -0.641102770E+01
   0.306294737E+05   0.500000000E+04  -0.579164041E+01  -0.375890479E+01  -0.496931347E+01  -0.569291925E+01  -0.596972214E+01  -0.608716445E+01  -0.468826537E+01  -0.474059231E+01  -0.548547694E+01  -0.603164041E+01  -0.647844330E+01
   0.323295801E+05   0.500000000E+04  -0.587587835E+01  -0.384314274E+01  -0.505355141E+01  -0.577715720E+01  -0.605396009E+01  -0.617140240E+01  -0.477250332E+01  -0.482483026E+01  -0.556971488E+01  -0.611587835E+01  -0.656268124E+01
   0.340167470E+05   0.500000000E+04  -0.595944062E+01  -0.392670501E+01  -0.513711368E+01  -0.586071947E+01  -0.613752236E+01  -0.625496467E+01  -0.485606559E+01  -0.490839253E+01  -0.565327715E+01  -0.619944062E+01  -0.664624351E+01
